ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
1491827238,"Scripture Study Journal: The Person We Must Not Overlook",Paperback," "," ","Rider, Joy",0.18,9.02,5.98,5.98,AuthorHouse,english,english,english,12.99,USD,AuthorHouse,74,0.19,9.00,6.00,0.36,Book,ABIS_BOOK,2014-01-28,AuthorHouse,http://ecx.images-amazon.com/images/I/41v9dLo5khL._SL75_.jpg,AuthorHouse," "
1491827378,"Chick and the Homestead Chickens of Grymme Creek Hollow",Hardcover," "," ","Boyette, David",8.86,1.06,5.91,5.91,AuthorHouse,english,english,english,31.99,USD,AuthorHouse,412,1.06,9.02,5.98,1.71,Book,ABIS_BOOK,2013-10-21,AuthorHouse,http://ecx.images-amazon.com/images/I/51D0szQv6RL._SL75_.jpg,AuthorHouse,6619600
1491827386,"Chick and the Homestead Chickens of Grymme Creek Hollow",Paperback," "," ","Boyette, David",8.86,0.91,5.91,5.91,AuthorHouse,english,english,english,23.95,USD,AuthorHouse,412,1.03,9.00,6.00,1.53,Book,ABIS_BOOK,2013-10-22,AuthorHouse,http://ecx.images-amazon.com/images/I/51Mq6IQW4hL._SL75_.jpg,AuthorHouse,2766995
1491827408,"Kaylin's Diary",Paperback," "," ",G-Jamz,10.87,0.12,8.39,8.39,AuthorHouse,english,english,english,21.99,USD,AuthorHouse,46,0.10,11.02,8.50,0.29,Book,ABIS_BOOK,2014-01-20,AuthorHouse,http://ecx.images-amazon.com/images/I/51kb%2BafmAvL._SL75_.jpg,AuthorHouse," "
1491827459,"Some People Suck",Paperback," "," ","Yagudayev, Malka",7.87,0.35,4.92,4.92,AuthorHouse,english,english,english,16.95,USD,AuthorHouse,162,0.41,8.00,5.00,0.42,Book,ABIS_BOOK,2013-12-03,AuthorHouse,http://ecx.images-amazon.com/images/I/41hJmqQoMsL._SL75_.jpg,AuthorHouse,3395283
149182753X,"Sammy Tsunami and the World Cleaver",Paperback," "," ","Gatchalian, Luke",8.86,0.79,5.91,5.91,AuthorHouse,english,english,english,23.95,USD,AuthorHouse,384,0.87,9.00,6.00,1.44,Book,ABIS_BOOK,2013-11-20,AuthorHouse,http://ecx.images-amazon.com/images/I/51Q-nmnW9VL._SL75_.jpg,AuthorHouse," "
1491827564,"Murder in the Park",Paperback," "," ","Wolfe, Rowan",8.86,0.87,5.91,5.91,AuthorHouse,english,english,english,23.95,USD,AuthorHouse,398,1.18,8.98,5.98,1.46,Book,ABIS_BOOK,2013-11-08,AuthorHouse,http://ecx.images-amazon.com/images/I/51KEntZBNEL._SL75_.jpg,AuthorHouse,1513854
1491827734,"Earth: The Salvage Game: The Death of Thera (Volume 2)",Paperback," "," ","Heller, Leo",8.86,0.67,5.91,5.91,AuthorHouse,english,english,english,19.95,USD,AuthorHouse,314,0.71,9.00,6.00,1.19,Book,ABIS_BOOK,2013-11-07,AuthorHouse,http://ecx.images-amazon.com/images/I/41bPQ5b2jyL._SL75_.jpg,AuthorHouse,6314785
1491827793,"Home Grown",Paperback," "," ","Riggs, John R.",7.87,0.47,4.92,4.92,AuthorHouse,english,english,english,16.95,USD,AuthorHouse,204,0.51,8.00,5.00,0.63,Book,ABIS_BOOK,2013-11-05,AuthorHouse,http://ecx.images-amazon.com/images/I/512lGG1hRFL._SL75_.jpg,AuthorHouse,452061
1491828013,"Characteristics of True Christianity",Hardcover," "," ","Maugh, Steven &. E. Sue",8.86,0.43,5.91,5.91,AuthorHouse,english,english,english,23.99,USD,AuthorHouse,126,0.44,9.02,5.98,0.76,Book,ABIS_BOOK,2013-10-22,AuthorHouse,http://ecx.images-amazon.com/images/I/41iuN2SxVIL._SL75_.jpg,AuthorHouse," "
